WhiteMagicRef,WhiteMagicSystemId,WhiteMagicID,CaseRef,WhiteMagic_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
WM/JO/2,JO,2,C/EGD/2121,Prophesy,jhm,05-Jun-01,jhm,05-Jun-01
WM/JO/25,JO,25,C/EGD/2453,Prophesy,jhm,23-Oct-01,jhm,23-Oct-01
WM/JO/27,JO,27,C/EGD/1339,Prophesy,jhm,20-Nov-01,jhm,20-Nov-01
WM/JO/30,JO,30,C/EGD/2540,Protective,jhm,17-Jan-02,jhm,17-Jan-02
WM/JO/31,JO,31,C/EGD/2270,Protective,jhm,17-Jan-02,jhm,17-Jan-02
WM/JO/32,JO,32,C/EGD/1284,Prophesy,jhm,08-Feb-02,jhm,08-Feb-02
WM/JO/33,JO,33,C/JO/3013,Prophesy,jhm,17-Apr-02,jhm,17-Apr-02
WM/JO/34,JO,34,C/EGD/2119,Prophesy,jhm,02-May-02,jhm,02-May-02
WM/JO/35,JO,35,C/EGD/2150,Love magic,jhm,08-May-02,jhm,08-May-02
WM/JO/36,JO,36,C/EGD/2172,Protective,jhm,08-May-02,jhm,08-May-02
WM/JO/37,JO,37,C/EGD/2172,Prophesy,jhm,09-May-02,jhm,09-May-02
WM/JO/38,JO,38,C/EGD/2159,Love magic,jhm,09-May-02,jhm,09-May-02
WM/JO/39,JO,39,C/EGD/2163,Prophesy,jhm,14-May-02,jhm,14-May-02
WM/JO/4,JO,4,C/EGD/1770,Prophesy,jhm,16-Aug-01,jhm,16-Aug-01
WM/JO/40,JO,40,C/EGD/2161,Prophesy,jhm,03-Jun-02,jhm,03-Jun-02
WM/JO/41,JO,41,C/JO/3036,Protective,jhm,03-Jun-02,jhm,03-Jun-02
WM/JO/42,JO,42,C/EGD/2154,Protective,jhm,03-Jun-02,jhm,24-Oct-02
WM/JO/43,JO,43,C/JO/3033,Prophesy,jhm,10-Jun-02,jhm,10-Jun-02
WM/JO/44,JO,44,C/EGD/2141,Protective,jhm,10-Jun-02,jhm,10-Jun-02
WM/JO/45,JO,45,C/JO/3044,Finding lost goods,jhm,19-Jun-02,jhm,19-Jun-02
WM/JO/46,JO,46,C/JO/3044,Prophesy,jhm,19-Jun-02,jhm,19-Jun-02
WM/JO/47,JO,47,C/EGD/2288,Prophesy,jhm,19-Jun-02,jhm,19-Jun-02
WM/JO/48,JO,48,C/EGD/2285,Prophesy,jhm,19-Jun-02,jhm,19-Jun-02
WM/JO/49,JO,49,C/JO/3055,Finding lost goods,jhm,19-Jun-02,jhm,19-Jun-02
WM/JO/5,JO,5,C/EGD/1924,Prophesy,jhm,25-Sep-01,jhm,25-Sep-01
WM/JO/55,JO,55,C/JO/3059,Finding lost goods,jhm,27-Jun-02,jhm,27-Jun-02
WM/JO/56,JO,56,C/JO/3061,Prophesy,jhm,28-Jun-02,jhm,28-Jun-02
WM/JO/57,JO,57,C/EGD/1045,Divination,jhm,03-Jul-02,jhm,03-Jul-02
WM/JO/58,JO,58,C/EGD/2158,Love magic,jhm,09-Jul-02,jhm,09-Jul-02
WM/JO/59,JO,59,C/JO/3096,Love magic,jhm,09-Jul-02,jhm,09-Jul-02
WM/JO/60,JO,60,C/EGD/2367,Prophesy,jhm,11-Jul-02,LEM,11-Nov-02
WM/JO/61,JO,61,C/JO/3090,Prophesy,jhm,18-Jul-02,LEM,11-Nov-02
WM/JO/62,JO,62,C/EGD/2158,Prophesy,jhm,18-Jul-02,LEM,11-Nov-02
WM/JO/63,JO,63,C/EGD/2140,Protective,jhm,18-Jul-02,jhm,18-Jul-02
WM/JO/64,JO,64,C/JO/3093,Prophesy,jhm,18-Jul-02,LEM,11-Nov-02
WM/JO/65,JO,65,C/EGD/2394,Prophesy,jhm,22-Jul-02,jhm,29-Oct-02
WM/JO/66,JO,66,C/EGD/2401,Prophesy,jhm,22-Jul-02,jhm,29-Oct-02
WM/JO/67,JO,67,C/EGD/1545,Prophesy,jhm,22-Jul-02,jhm,08-Oct-02
WM/JO/68,JO,68,C/EGD/1545,Finding lost goods,jhm,22-Jul-02,jhm,22-Jul-02
WM/JO/69,JO,69,C/EGD/2400,Prophesy,jhm,22-Jul-02,jhm,29-Oct-02
WM/JO/70,JO,70,C/JO/3247,Finding lost goods,jhm,27-Aug-02,jhm,27-Aug-02
WM/JO/71,JO,71,C/EGD/1888,Protective,jhm,04-Sep-02,jhm,04-Sep-02
WM/JO/74,JO,74,C/EGD/171,Love magic,jhm,21-Oct-02,jhm,21-Oct-02
WM/LA/1,LA,1,C/EGD/172,Love magic,LEM,21-May-01,LEM,21-May-01
WM/LA/10,LA,10,C/EGD/103,Finding lost goods,LEM,10-Oct-01,LEM,10-Oct-01
WM/LA/11,LA,11,C/EGD/104,Love magic,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/12,LA,12,C/EGD/104,Finding lost goods,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/13,LA,13,C/EGD/63,Finding lost goods,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/14,LA,14,C/EGD/63,Love magic,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/15,LA,15,C/EGD/1277,Protective,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/16,LA,16,C/EGD/1258,Protective,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/17,LA,17,C/EGD/1276,Protective,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/18,LA,18,C/EGD/1268,Protective,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/19,LA,19,C/EGD/1269,Protective,LEM,16-Oct-01,LEM,16-Oct-01
WM/LA/20,LA,20,C/EGD/29,Finding lost goods,LEM,18-Oct-01,LEM,18-Oct-01
WM/LA/21,LA,21,C/EGD/29,Prophesy,LEM,18-Oct-01,LEM,18-Oct-01
WM/LA/22,LA,22,C/EGD/1278,Protective,LEM,18-Oct-01,LEM,18-Oct-01
WM/LA/23,LA,23,C/EGD/1278,Love magic,LEM,18-Oct-01,LEM,18-Oct-01
WM/LA/24,LA,24,C/EGD/1278,Prophesy,LEM,19-Oct-01,LEM,19-Oct-01
WM/LA/25,LA,25,C/EGD/1293,Prophesy,LEM,22-Oct-01,LEM,22-Oct-01
WM/LA/26,LA,26,C/EGD/1284,Protective,LEM,23-Oct-01,LEM,23-Oct-01
WM/LA/27,LA,27,C/EGD/785,Prophesy,LEM,26-Nov-01,LEM,26-Nov-01
WM/LA/28,LA,28,C/EGD/790,Protective,LEM,30-Nov-01,LEM,30-Nov-01
WM/LA/32,LA,32,C/EGD/1777,Spirit Medium,LEM,31-Jan-02,LEM,31-Jan-02
WM/LA/33,LA,33,C/EGD/1094,Love magic,LEM,02-May-02,LEM,02-May-02
WM/LA/45,LA,45,C/LA/3044,Divination,LEM,17-Jun-02,LEM,17-Jun-02
WM/LA/46,LA,46,C/EGD/2264,Love magic,LEM,19-Jun-02,LEM,19-Jun-02
WM/LA/47,LA,47,C/EGD/2264,Protective,LEM,19-Jun-02,LEM,19-Jun-02
WM/LA/48,LA,48,C/EGD/2212,Divination,LEM,19-Jun-02,LEM,19-Jun-02
WM/LA/49,LA,49,C/EGD/2212,Second Sight,LEM,19-Jun-02,LEM,19-Jun-02
WM/LA/5,LA,5,C/EGD/54,Prophesy,LEM,08-Oct-01,jhm,07-Nov-01
WM/LA/50,LA,50,C/EGD/2257,Second Sight,LEM,19-Jun-02,LEM,19-Jun-02
WM/LA/51,LA,51,C/EGD/2257,Divination,LEM,19-Jun-02,LEM,19-Jun-02
WM/LA/52,LA,52,C/EGD/2255,Protective,LEM,19-Jun-02,LEM,19-Jun-02
WM/LA/53,LA,53,C/EGD/2255,Second Sight,LEM,19-Jun-02,LEM,19-Jun-02
WM/LA/54,LA,54,C/EGD/2256,Divination,LEM,20-Jun-02,LEM,20-Jun-02
WM/LA/58,LA,58,C/EGD/317,Diagnose Bewitchment,LEM,18-Jul-02,LEM,18-Jul-02
WM/LA/6,LA,6,C/EGD/59,Opening Lock,LEM,09-Oct-01,LEM,09-Oct-01
WM/LA/7,LA,7,C/EGD/59,Astrology,LEM,09-Oct-01,LEM,09-Oct-01
WM/LA/70,LA,70,C/EGD/597,Diagnose Bewitchment,LEM,28-Aug-02,LEM,28-Aug-02
WM/LA/72,LA,72,C/LA/3135,Protective,LEM,12-Sep-02,LEM,12-Sep-02
WM/LA/73,LA,73,C/EGD/1998,Finding lost goods,LEM,17-Sep-02,LEM,17-Sep-02
WM/LA/76,LA,76,C/EGD/59,Love magic,LEM,07-Nov-02,LEM,07-Nov-02
WM/LA/8,LA,8,C/EGD/63,Prophesy,LEM,09-Oct-01,LEM,09-Oct-01
WM/LA/9,LA,9,C/EGD/103,Love magic,LEM,10-Oct-01,LEM,10-Oct-01